log_file,experiment,setting,algorithm,is_rerun,mode,task,optimizer,p,hidden_width,alpha,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,proximal_mu,server_lr,tau,weight_decay,t_grok,t_50,final_acc,grokked,censored,history_path
exp2_a0.25_K2.log,exp2,,,False,centralized,addition,gd,97,256,0.25,456,,,,,,,,,,26900.0,21200.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s456.json
exp2_a0.25_K2.log,exp2,,,False,centralized,addition,gd,97,256,0.125,42,,,,,,,,,,inf,inf,0.6,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.125_s42.json
exp2_a0.25_K2.log,exp2,,,False,centralized,addition,gd,97,256,0.125,123,,,,,,,,,,inf,inf,0.6,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.125_s123.json
exp2_a0.25_K2.log,exp2,,,False,centralized,addition,gd,97,256,0.125,456,,,,,,,,,,inf,inf,0.5,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.125_s456.json
exp2_a0.25_K2.log,exp2,,,False,federated,addition,gd,97,256,0.25,42,2,5,1.0,iid,,,,,,23285.0,19030.0,100.0,True,False,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K2_le5_ft1.0_iid_s42.json
exp2_a0.25_K2.log,exp2,,,False,federated,addition,gd,97,256,0.25,123,2,5,1.0,iid,,,,,,25315.0,20490.0,100.0,True,False,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K2_le5_ft1.0_iid_s123.json
exp2_a0.25_K2.log,exp2,,,False,federated,addition,gd,97,256,0.25,456,2,5,1.0,iid,,,,,,27190.0,21260.0,100.0,True,False,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K2_le5_ft1.0_iid_s456.json
exp2_a0.25_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.25,42,,,,,,,,,,23200.0,19000.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s42.json
exp2_a0.25_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.25,123,,,,,,,,,,25300.0,20400.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s123.json
exp2_a0.25_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.25,456,,,,,,,,,,26900.0,21200.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s456.json
exp2_a0.25_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.0125,42,,,,,,,,,,inf,inf,0.1,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.0125_s42.json
exp2_a0.25_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.0125,123,,,,,,,,,,inf,inf,0.1,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.0125_s123.json
exp2_a0.25_K20.log,exp2,,,False,centralized,addition,gd,97,256,0.0125,456,,,,,,,,,,inf,inf,0.1,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.0125_s456.json
exp2_a0.25_K20.log,exp2,,,False,federated,addition,gd,97,256,0.25,42,20,5,1.0,iid,,,,,,27215.0,21950.0,100.0,True,False,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K20_le5_ft1.0_iid_s42.json
exp2_a0.25_K20.log,exp2,,,False,federated,addition,gd,97,256,0.25,123,20,5,1.0,iid,,,,,,29720.0,23480.0,100.0,True,False,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K20_le5_ft1.0_iid_s123.json
exp2_a0.25_K20.log,exp2,,,False,federated,addition,gd,97,256,0.25,456,20,5,1.0,iid,,,,,,33025.0,24940.0,100.0,True,False,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K20_le5_ft1.0_iid_s456.json
exp2_a0.25_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.25,42,,,,,,,,,,23200.0,19000.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s42.json
exp2_a0.25_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.25,123,,,,,,,,,,25300.0,20400.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s123.json
exp2_a0.25_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.25,456,,,,,,,,,,26900.0,21200.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s456.json
exp2_a0.25_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.05,42,,,,,,,,,,inf,inf,0.1,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.05_s42.json
exp2_a0.25_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.05,123,,,,,,,,,,inf,inf,0.1,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.05_s123.json
exp2_a0.25_K5.log,exp2,,,False,centralized,addition,gd,97,256,0.05,456,,,,,,,,,,inf,inf,0.0,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.05_s456.json
exp2_a0.25_K5.log,exp2,,,False,federated,addition,gd,97,256,0.25,42,5,5,1.0,iid,,,,,,23625.0,19295.0,100.0,True,False,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K5_le5_ft1.0_iid_s42.json
exp2_a0.25_K5.log,exp2,,,False,federated,addition,gd,97,256,0.25,123,5,5,1.0,iid,,,,,,25845.0,20850.0,100.0,True,False,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K5_le5_ft1.0_iid_s123.json
exp2_a0.25_K5.log,exp2,,,False,federated,addition,gd,97,256,0.25,456,5,5,1.0,iid,,,,,,27880.0,21665.0,100.0,True,False,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K5_le5_ft1.0_iid_s456.json
exp2_a0.25_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.25,42,,,,,,,,,,23200.0,19000.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s42.json
exp2_a0.25_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.25,123,,,,,,,,,,25300.0,20400.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s123.json
exp2_a0.25_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.25,456,,,,,,,,,,26900.0,21200.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s456.json
exp2_a0.25_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.005,42,,,,,,,,,,inf,inf,0.5,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.005_s42.json
exp2_a0.25_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.005,123,,,,,,,,,,inf,inf,0.5,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.005_s123.json
exp2_a0.25_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.005,456,,,,,,,,,,inf,inf,0.5,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.005_s456.json
exp2_a0.25_K50.log,exp2,,,False,federated,addition,gd,97,256,0.25,42,50,5,1.0,iid,,,,,,40600.0,29880.0,99.9,True,False,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K50_le5_ft1.0_iid_s42.json
exp2_a0.25_K50.log,exp2,,,False,federated,addition,gd,97,256,0.25,123,50,5,1.0,iid,,,,,,43975.0,33195.0,99.7,True,False,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K50_le5_ft1.0_iid_s123.json
exp2_a0.25_K50.log,exp2,,,False,federated,addition,gd,97,256,0.25,456,50,5,1.0,iid,,,,,,inf,36605.0,93.0,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K50_le5_ft1.0_iid_s456.json
exp2_a0.25_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.25,42,,,,,,,,,,23200.0,19000.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s42.json
exp2_a0.25_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.25,123,,,,,,,,,,25300.0,20400.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s123.json
exp2_a0.25_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.25,456,,,,,,,,,,26900.0,21200.0,100.0,True,False,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.25_s456.json
exp2_a0.25_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.002577319587628866,42,,,,,,,,,,inf,inf,0.6,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.002577319587628866_s42.json
